session_day,anchor_ms,anchor_et,event_type,level,hit_ms,hit_et,minutes_to_hit,anchor_close,hit_close,move_anchor_to_hit_pct,hit_candle_range,hit_candle_range_pct_of_level,hit_candle_volume,hit_volume_zscore_24bars,forward_close,forward_return_pct,continuation_move_abs,continuation_move_pct_of_level
2025-01-01,1735768800000,2025-01-01 17:00,daily_high,2.112,1735768800000,2025-01-01 17:00,0.0,2.3142,2.3142,0.0,0.009599999999999831,0.4545,3003961.9,0.0,2.3329,0.8081,0.2427,11.4915
2025-01-02,1735855200000,2025-01-02 17:00,daily_high,2.4518,1735871100000,2025-01-02 21:25,265.0,2.387,2.4604,3.075,0.026100000000000012,1.0645,16897809.1,7.3569,2.4572,-0.1301,0.0139,0.5669
2025-01-03,1735941600000,2025-01-03 17:00,daily_high,2.4748,1735955700000,2025-01-03 20:55,235.0,2.4613,2.4737,0.5038,0.013500000000000068,0.5455,9262490.8,2.0354,2.4849,0.4528,0.0357,1.4425
2025-01-06,1736200800000,2025-01-06 17:00,daily_high,2.4425,1736232300000,2025-01-07 01:45,525.0,2.4109,2.4445,1.3937,0.011400000000000077,0.4667,5684787.8,1.3737,2.4296,-0.6095,0.0054,0.2211
2025-01-07,1736287200000,2025-01-07 17:00,daily_low,2.3657,1736287200000,2025-01-07 17:00,0.0,2.272,2.272,0.0,0.013700000000000045,0.5791,5696352.0,0.0,2.2804,0.3697,0.0947,4.003
2025-01-10,1736546400000,2025-01-10 17:00,daily_high,2.3661,1736591400000,2025-01-11 05:30,750.0,2.3404,2.3674,1.1536,0.007099999999999884,0.3001,3028572.0,1.5504,2.3922,1.0476,0.0324,1.3693
2025-01-13,1736805600000,2025-01-13 17:00,daily_high,2.563,1736846100000,2025-01-14 04:15,675.0,2.535,2.5622,1.073,0.01670000000000016,0.6516,11119191.5,7.3359,2.5803,0.7064,0.023,0.8974
2025-01-14,1736892000000,2025-01-14 17:00,daily_high,2.556,1736892000000,2025-01-14 17:00,0.0,2.6745,2.6745,0.0,0.008599999999999941,0.3365,3703907.0,0.0,2.6669,-0.2842,0.1228,4.8044
2025-01-15,1736978400000,2025-01-15 17:00,daily_high,2.8777,1736978400000,2025-01-15 17:00,0.0,3.0371,3.0371,0.0,0.03139999999999965,1.0911,16618145.3,0.0,3.0962,1.9459,0.2211,7.6832
2025-01-16,1737064800000,2025-01-16 17:00,daily_high,3.1992,1737064800000,2025-01-16 17:00,0.0,3.2782,3.2782,0.0,0.02049999999999974,0.6408,2915147.6,0.0,3.2374,-1.2446,0.0846,2.6444
2025-01-23,1737669600000,2025-01-23 17:00,daily_low,3.1056,1737669600000,2025-01-23 17:00,0.0,3.0846,3.0846,0.0,0.015899999999999803,0.512,2114053.6,0.0,3.122,1.2125,0.0231,0.7438
2025-01-27,1738015200000,2025-01-27 17:00,daily_high,3.144,1738038900000,2025-01-27 23:35,395.0,3.0209,3.1409,3.9723,0.029900000000000038,0.951,12949077.6,8.7993,3.1213,-0.624,-0.002,-0.0636
2025-01-30,1738274400000,2025-01-30 17:00,daily_high,3.1356,1738275900000,2025-01-30 17:25,25.0,3.1204,3.1307,0.3301,0.006299999999999972,0.2009,829170.2,0.1997,3.1504,0.6293,0.018,0.5741
2025-01-31,1738360800000,2025-01-31 17:00,daily_low,3.0712,1738360800000,2025-01-31 17:00,0.0,3.0381,3.0381,0.0,0.006600000000000161,0.2149,1836443.7,0.0,3.0348,-0.1086,0.0453,1.475
2025-02-05,1738792800000,2025-02-05 17:00,daily_low,2.4203,1738792800000,2025-02-05 17:00,0.0,2.3953,2.3953,0.0,0.02499999999999991,1.0329,8597710.3,0.0,2.3813,-0.5845,0.0633,2.6154
2025-02-06,1738879200000,2025-02-06 17:00,daily_low,2.3418,1738879200000,2025-02-06 17:00,0.0,2.3332,2.3332,0.0,0.016599999999999948,0.7089,3568518.7,0.0,2.343,0.42,0.0377,1.6099
2025-02-10,1739224800000,2025-02-10 17:00,daily_high,2.4942,1739250000000,2025-02-11 00:00,420.0,2.4186,2.4899,2.948,0.03090000000000037,1.2389,12897669.0,4.1203,2.4998,0.3976,0.0246,0.9863
2025-02-11,1739311200000,2025-02-11 17:00,daily_low,2.3796,1739329500000,2025-02-11 22:05,305.0,2.4396,2.3862,-2.1889,0.013900000000000023,0.5841,6889717.2,7.0918,2.3941,0.3311,-0.0017,-0.0714
2025-02-13,1739484000000,2025-02-13 17:00,daily_high,2.4958,1739484000000,2025-02-13 17:00,0.0,2.5053,2.5053,0.0,0.0118999999999998,0.4768,3526542.9,0.0,2.5258,0.8183,0.1078,4.3193
2025-02-14,1739570400000,2025-02-14 17:00,daily_high,2.6036,1739570400000,2025-02-14 17:00,0.0,2.7411,2.7411,0.0,0.011500000000000288,0.4417,2441293.0,0.0,2.7181,-0.8391,0.1389,5.3349
2025-02-17,1739829600000,2025-02-17 17:00,daily_low,2.6855,1739829600000,2025-02-17 17:00,0.0,2.6729,2.6729,0.0,0.01289999999999969,0.4804,3761372.5,0.0,2.6548,-0.6772,0.0362,1.348
2025-02-18,1739916000000,2025-02-18 17:00,daily_low,2.6063,1739916000000,2025-02-18 17:00,0.0,2.5342,2.5342,0.0,0.007700000000000262,0.2954,1529329.7,0.0,2.5491,0.588,0.0806,3.0925
